JupiterExpress_OH.EarthMJ2000Eq.X   JupiterExpress_OH.EarthMJ2000Eq.Y   JupiterExpress_OH.EarthMJ2000Eq.Z   JupiterExpress.ElapsedSecs   
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12416019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12502419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12588819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12675219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12761619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12848019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  12934419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13020819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13107219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13193619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13280019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13366419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13452819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13539219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13625619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13712019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13798419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13884819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  13971219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14057619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14144019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14230419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14316819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14403219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14489619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14576019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14662419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14748819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14835219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  14921619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15008019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15094419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15180819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15267219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15353619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15440019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15526419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15612819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15699219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15785619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15872019.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  15958419.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  16044819.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  16131219.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  16217619.46129217            
-1019.860567583679                  -6850.100901500838                  -1118.721550712235                  16304019.46129217            
